"specie","reconstruction_log_probability","percentile","clusterunif"
"Episyrphus balteatus",-1.856937408,"50p-75p","low"
"Eurydema ornata",-1.759714842,"50p-75p","low"
"Gambusia holbrooki",-2.121337652,"50p-75p","low"
"Gavia arctica",-1.766365647,"50p-75p","low"
"Gulosus aristotelis",-1.878364444,"50p-75p","low"
"Iphiclides podalirius",-2.035139799,"50p-75p","low"
"Lacerta bilineata",-1.879080534,"50p-75p","low"
"Lucanus cervus",-2.109144449,"50p-75p","low"
"Luscinia svecica",-1.880755901,"50p-75p","low"
"Megascolia maculata",-1.834727764,"50p-75p","low"
"Milvus milvus",-2.039452314,"50p-75p","low"
"Nezara viridula",-2.349955559,"50p-75p","low"
"Pelophylax",-2.007310152,"50p-75p","low"
"Polygonia c-album",-2.349127769,"50p-75p","low"
"Puffinus yelkouan",-2.356256485,"50p-75p","low"
"Turdus iliacus",-2.112724304,"50p-75p","low"
"Zapornia parva",-1.814862967,"50p-75p","low"
"Falco vespertinus",-1.959823847,"50p-75p","low"
"Calandrella brachydactyla",-1.736932158,"50p-75p","low"
"Cecropis daurica",-1.788627625,"50p-75p","low"
"Tyto alba",-1.74069488,"50p-75p","low"
"Hierophis viridiflavus",-1.725548387,"50p-75p","low"
"Aiolopus strepens",-1.948147416,"50p-75p","low"
"Araneus angulatus",-1.984582663,"50p-75p","low"
"Dorcus parallelipipedus",-1.784407616,"50p-75p","low"
"Emys orbicularis",-1.726626396,"50p-75p","low"
"Euplagia quadripunctaria",-1.83810091,"50p-75p","low"
"Hippodamia variegata",-1.741002679,"50p-75p","low"
"Pachygrapsus marmoratus",-1.730569124,"50p-75p","low"
"Pyrgus malvoides",-1.761155128,"50p-75p","low"
"Sceliphron caementarium",-1.891154885,"50p-75p","low"
"Tropidopola cylindrica",-1.793049932,"50p-75p","low"
"Xylocopa violacea",-1.80075562,"50p-75p","low"
"Coracias garrulus",-1.672677636,"75p-100p","low"
"Calidris temminckii",-1.656829238,"75p-100p","low"
"Falco columbarius",-1.512369156,"75p-100p","low"
"Amandava amandava",-1.299571514,"75p-100p","low"
"Columba oenas",-1.649201274,"75p-100p","low"
"Gonepteryx rhamni",-1.581697345,"75p-100p","low"
"Theba pisana",-1.611226559,"75p-100p","low"
"Erythromma viridulum",-1.309208274,"75p-100p","low"
"Hydrocoloeus minutus",-1.531472683,"75p-100p","low"
"Cyprinus carpio",-1.651303291,"75p-100p","low"
"Lepomis gibbosus",-1.645951033,"75p-100p","low"
"Monticola solitarius",-1.661356211,"75p-100p","low"
"Oryctes nasicornis",-1.148527503,"75p-100p","low"
"Agrius convolvuli",-1.413765073,"75p-100p","low"
"Anax ephippiger",-1.419638753,"75p-100p","low"
"Argiope lobata",-1.330632329,"75p-100p","low"
"Callophrys rubi",-1.596037149,"75p-100p","low"
"Cerambyx cerdo",-1.396098018,"75p-100p","low"
"Chalcolestes parvidens",-1.66031754,"75p-100p","low"
"Clangula hyemalis",-1.416567802,"75p-100p","low"
"Cornu aspersum",-1.608313322,"75p-100p","low"
"Falco naumanni",-1.343336105,"75p-100p","low"
"Gavia stellata",-1.544807076,"75p-100p","low"
"Hipparchia statilinus",-1.305992961,"75p-100p","low"
"Hyphantria cunea",-1.704568267,"75p-100p","low"
"Nomophila noctuella",-1.532555819,"75p-100p","low"
"Pieris brassicae",-1.495506406,"75p-100p","low"
"Polistes dominula",-1.379050016,"75p-100p","low"
"Pontia edusa",-1.432763219,"75p-100p","low"
"Rana dalmatina",-1.446949482,"75p-100p","low"
"Scopula imitaria",-1.193815708,"75p-100p","low"
"Sphingonotus personatus",-1.37319231,"75p-100p","low"
"Utetheisa pulchella",-1.157491803,"75p-100p","low"
"Acanthocardia tuberculata",-1.16314888,"75p-100p","low"
"Acrida ungarica",-1.653910875,"75p-100p","low"
"Aedes albopictus",-1.116535783,"75p-100p","low"
"Agelena labyrinthica",-1.509270191,"75p-100p","low"
"Alopochen aegyptiaca",-1.358831882,"75p-100p","low"
"Ameiurus",-1.483865738,"75p-100p","low"
"Anthus cervinus",-1.312799335,"75p-100p","low"
"Arachnocephalus vestitus",-1.644523025,"75p-100p","low"
"Arctia villica",-1.555816889,"75p-100p","low"
"Asio flammeus",-1.618454099,"75p-100p","low"
"Aspitates ochrearia",-1.187977195,"75p-100p","low"
"Bacillus rossius",-1.461439133,"75p-100p","low"
"Cacyreus marshalli",-1.474239111,"75p-100p","low"
"Caretta caretta",-1.382853746,"75p-100p","low"
"Curruca subalpina",-1.636588693,"75p-100p","low"
"Dolycoris baccarum",-1.502541065,"75p-100p","low"
"Erinaceus Linnaeus,",-1.430655122,"75p-100p","low"
"Eristalinus taeniops",-1.449171424,"75p-100p","low"
"Eupeodes corollae",-1.491170645,"75p-100p","low"
"Evarcha jucunda",-1.541076779,"75p-100p","low"
"Exochomus quadripustulatus",-1.309284449,"75p-100p","low"
"Glareola pratincola",-1.618569016,"75p-100p","low"
"Glycaspis brimblecombei",-1.465192556,"75p-100p","low"
"Helicoverpa armigera",-1.617007494,"75p-100p","low"
"Lampides boeticus",-1.218705297,"75p-100p","low"
"Lasiocampa quercus",-1.656706452,"75p-100p","low"
"Lestes virens",-1.619319916,"75p-100p","low"
"Lindenia tetraphylla",-1.535660982,"75p-100p","low"
"Linepithema humile",-1.317170143,"75p-100p","low"
"Locusta migratoria",-1.479093432,"75p-100p","low"
"Meles meles",-1.636227131,"75p-100p","low"
"Mesosa curculionoides",-1.329638839,"75p-100p","low"
"Mugilidae indet.",-1.23726964,"75p-100p","low"
"Neoscona subfusca",-1.201295614,"75p-100p","low"
"Nymphalis polychloros",-1.625124097,"75p-100p","low"
"Orthetrum brunneum",-1.570459008,"75p-100p","low"
"Palpita vitrealis",-1.156020403,"75p-100p","low"
"Phaneroptera nana",-1.66806829,"75p-100p","low"
"Philaeus chrysops",-1.512905598,"75p-100p","low"
"Podiceps grisegena",-1.513188004,"75p-100p","low"
"Porzana porzana",-1.435020208,"75p-100p","low"
"Rhizostoma pulmo",-1.634678006,"75p-100p","low"
"Ruspolia nitidula",-1.666459084,"75p-100p","low"
"Saturnia pavoniella",-1.500926018,"75p-100p","low"
"Silurus glanis",-1.235015631,"75p-100p","low"
"Tadorna ferruginea",-1.658615112,"75p-100p","low"
"Zoropsis spinimana",-1.376776814,"75p-100p","low"
