specie,A,Aloc,IntraDO,InterDO,E,TR,TRMO
Columba oenas,2.19E-08,1.39E-07,0.192982456,0.157894737,0.001311344,0.1,0
Ixobrychus minutus,2.60E-07,9.87E-07,1.175438596,0.263157895,0.00606096,0.24,0.006666667
Lanius collurio,1.63E-07,6.19E-07,1.070175439,0.263157895,0.003475563,0.206666667,0.006666667
Muscicapa striata,3.98E-07,1.03E-06,1.964912281,0.385964912,0.004376126,0.231818182,0.013636364
Nycticorax nycticorax,8.96E-07,1.76E-06,4.210526316,0.50877193,0.00886881,0.34137931,0.034482759
Podiceps nigricollis,6.57E-07,1.39E-06,5.561403509,0.473684211,0.005408902,0.333333333,0.062962963
Spatula clypeata,1.93E-06,3.55E-06,9.263157895,0.543859649,0.009003118,0.490322581,0.083870968
Apis mellifera,1.83E-07,6.51E-07,0.912280702,0.280701754,0.00556022,0.16875,0.00625
Bufo bufo,2.08E-07,2.96E-06,0.157894737,0.070175439,0.029593322,0.175,0
Falco subbuteo,2.91E-07,9.77E-07,1.543859649,0.298245614,0.005623587,0.288235294,0
Gonepteryx rhamni,2.78E-08,2.64E-07,0.157894737,0.105263158,0.002627355,0.133333333,0
Numenius phaeopus,1.71E-07,5.43E-07,1.070175439,0.315789474,0.002412257,0.216666667,0.005555556
Oriolus oriolus,4.14E-07,9.84E-07,1.771929825,0.421052632,0.004727691,0.225,0.004166667
Phoenicopterus roseus,2.93E-06,5.38E-06,27,0.543859649,0.018979171,0.65483871,0.267741935
Procambarus clarkii,1.26E-07,8.95E-07,0.50877193,0.140350877,0.008569887,0.25,0
Sympetrum striolatum,9.24E-08,4.05E-07,0.403508772,0.228070175,0.00356369,0.123076923,0
Tadorna tadorna,1.20E-06,2.21E-06,11.68421053,0.543859649,0.008736045,0.503225806,0.119354839
Theba pisana,1.81E-08,1.72E-07,0.140350877,0.105263158,0.001722356,0.133333333,0
Tringa erythropus,7.27E-07,1.66E-06,7,0.438596491,0.004808164,0.416,0.1
Vanessa cardui,9.75E-08,3.71E-07,0.754385965,0.263157895,0.003421385,0.186666667,0.013333333
Anacridium aegyptium,8.82E-08,6.28E-07,0.385964912,0.140350877,0.005906975,0.1625,0
Anser anser,1.19E-06,2.94E-06,5.087719298,0.403508772,0.007322808,0.352173913,0.065217391
Calidris minuta,6.10E-07,2.05E-06,3.614035088,0.298245614,0.006879434,0.429411765,0.058823529
Cecropis daurica,1.20E-08,2.28E-07,0.122807018,0.052631579,0.002061735,0.166666667,0
Charadrius alexandrinus,3.13E-07,7.75E-07,2.228070175,0.403508772,0.003562829,0.256521739,0.02173913
Erythromma viridulum,1.09E-08,3.11E-07,0.052631579,0.035087719,0.001608277,0.1,0
Hydrocoloeus minutus,3.67E-08,2.99E-07,0.315789474,0.122807018,0.002092402,0.157142857,0
Jynx torquilla,1.81E-07,7.95E-07,0.789473684,0.228070175,0.005742057,0.215384615,0
Larus canus,6.07E-08,3.85E-07,0.350877193,0.157894737,0.00265117,0.177777778,0
Pernis apivorus,2.04E-07,7.27E-07,0.789473684,0.280701754,0.004847725,0.20625,0
Phylloscopus trochilus,3.12E-07,8.47E-07,1.122807018,0.368421053,0.003636894,0.176190476,0
Polyommatus icarus,1.95E-07,7.96E-07,0.98245614,0.245614035,0.005563812,0.171428571,0.014285714
Sus scrofa,8.83E-08,6.29E-07,0.526315789,0.140350877,0.006149013,0.225,0
Trachemys scripta,1.98E-07,1.03E-06,0.701754386,0.192982456,0.008528609,0.163636364,0.018181818
Turdus philomelos,4.17E-07,1.25E-06,1.666666667,0.333333333,0.005212024,0.273684211,0.005263158
Aeshna mixta,8.94E-08,8.49E-07,0.403508772,0.105263158,0.006370296,0.233333333,0
Aglais io,1.29E-07,9.20E-07,0.596491228,0.140350877,0.007953046,0.25,0
Anax parthenope,5.82E-08,6.64E-07,0.245614035,0.087719298,0.005434674,0.2,0
Apus melba,8.20E-08,5.84E-07,0.333333333,0.140350877,0.003625304,0.1625,0
Calidris temminckii,5.68E-08,3.60E-07,0.315789474,0.157894737,0.001897506,0.144444444,0
Chlidonias niger,1.11E-07,5.26E-07,0.701754386,0.210526316,0.00207438,0.183333333,0.008333333
Cyprinus carpio,3.41E-08,3.89E-07,0.157894737,0.087719298,0.003437606,0.12,0
Gelochelidon nilotica,1.08E-07,3.61E-07,0.98245614,0.298245614,0.00229906,0.2,0
Haematopus ostralegus,1.95E-07,5.56E-07,2.105263158,0.350877193,0.003074653,0.235,0.02
Halyomorpha halys,7.08E-08,6.73E-07,0.298245614,0.105263158,0.006730479,0.166666667,0
Larus fuscus,1.05E-07,5.43E-07,0.50877193,0.192982456,0.002265598,0.181818182,0
Lepomis gibbosus,1.22E-08,3.48E-07,0.052631579,0.035087719,0.003482172,0.1,0
Leptotes pirithous,9.99E-08,4.74E-07,0.50877193,0.210526316,0.004408553,0.15,0
Lycaena phlaeas,9.60E-08,4.56E-07,0.543859649,0.210526316,0.003102476,0.158333333,0.008333333
Macroglossum stellatarum,4.23E-08,4.02E-07,0.280701754,0.105263158,0.003372987,0.183333333,0
Melitaea didyma,1.02E-07,1.17E-06,0.438596491,0.087719298,0.009551422,0.22,0.02
Milvus migrans,7.13E-07,2.14E-06,3.140350877,0.333333333,0.010930622,0.252631579,0.042105263
