"specie","A","Aloc","IntraDO","InterDO","E","TR","TRMO","cluster","distance","clusterunif"
"Tringa glareola",-0.079898494,-0.222653361,0.180454544,1.084837991,-0.206911746,0.374910772,-0.101064487,6,1.17634947,"medium"
"Tringa nebularia",0.647133604,0.631928227,1.40610331,1.331477987,0.381676068,1.493159534,1.740095043,1,0.894397701,"high"
"Tringa ochropus",-0.308871981,-0.436635978,-0.287322647,0.591557999,-0.306529249,-0.012197901,-0.378770752,6,1.284771003,"medium"
"Tringa totanus",0.45820167,0.534653848,0.989092635,1.084837991,0.297761304,1.375158016,1.74787459,1,1.189281498,"high"
"Trithemis annulata",-0.465110172,-0.322043341,-0.494014895,-0.55942865,0.334930216,-0.539600993,-0.58339642,5,0.906094827,"low"
"Troglodytes troglodytes",0.498959907,0.648827114,0.191333084,1.002624659,0.350330047,0.579194072,0.000165672,6,1.148102618,"medium"
"Turdus merula",2.778084259,2.646259089,1.917394659,1.824757979,1.736475083,1.628502492,1.849989909,2,0.677839063,"high"
"Turdus philomelos",-0.11432852,0.046628121,-0.23655613,0.344918002,0.034397046,0.250067883,-0.464928928,6,0.358453702,"medium"
"Tyto alba",-0.577276364,-0.852106477,-0.548407592,-0.723855314,-1.048874104,-0.739650442,-0.58339642,5,0.317483965,"low"
"Vanellus vanellus",0.575288876,0.540601013,0.601091399,1.331477987,-0.072646781,0.796213068,0.650958419,1,1.875617429,"high"
"Vanessa cardui",-0.479520353,-0.649161119,-0.425117479,0.016064674,-0.441596056,-0.446244584,-0.283278773,5,0.589829354,"low"
"Xylocopa violacea",-0.560009366,-0.637108034,-0.562912311,-0.888281979,-0.325188983,-0.939699891,-0.58339642,5,0.182092226,"low"
