specie,a,aloc,intrado,interdo,e,tr,trmo,clusterid,clusterunif
Anacridium aegyptium,-0.4897669,-0.44491217,-0.50063503,-0.55930924,0.21990313,-0.63929838,-0.58265203,2,low
Larus canus,-0.52122653,-0.63788289,-0.50789499,-0.47704396,-0.64587241,-0.51695085,-0.58265203,2,low
Sus scrofa,-0.48968634,-0.44451559,-0.4715952,-0.55930924,0.28426546,-0.13878573,-0.58265203,2,low
Trachemys scripta,-0.36363626,-0.12892437,-0.43529537,-0.31251344,0.9170419,-0.63019818,-0.17290832,2,low
Aeshna mixta,-0.48840031,-0.27010277,-0.49700508,-0.72383976,0.34310842,-0.072050706,-0.58265203,2,low
Aglais io,-0.44291362,-0.21421288,-0.45707527,-0.55930924,0.76398951,0.061419342,-0.58265203,2,low
Anax parthenope,-0.52407819,-0.41671535,-0.52967489,-0.80610502,0.094310082,-0.33899081,-0.58265203,2,low
Apus melba,-0.49684903,-0.47978368,-0.51152498,-0.55930924,-0.38683319,-0.63929838,-0.58265203,2,low
Calidris temminckii,-0.52571994,-0.65754974,-0.51515496,-0.47704396,-0.84628499,-0.78389096,-0.58265203,2,low
Chlidonias niger,-0.46388409,-0.52578735,-0.43529537,-0.23024817,-0.79925114,-0.47246084,-0.39485282,2,low
Halyomorpha halys,-0.50963682,-0.40952399,-0.51878494,-0.72383976,0.43888751,-0.60593086,-0.58265203,2,low
Larus fuscus,-0.47075394,-0.51251215,-0.47522518,-0.31251344,-0.74840289,-0.48459449,-0.58265203,2,low
Leptotes pirithous,-0.47636726,-0.56676441,-0.47522518,-0.23024817,-0.17855355,-0.73940092,-0.58265203,2,low
Lycaena phlaeas,-0.48083651,-0.58143502,-0.46796522,-0.23024817,-0.52586222,-0.67266589,-0.39485282,2,low
Macroglossum stellatarum,-0.54231137,-0.62403733,-0.52241492,-0.72383976,-0.45392859,-0.47246084,-0.58265203,2,low
Orthetrum coerulescens,-0.54204625,-0.55827147,-0.54419482,-0.80610502,-0.15946116,-0.81948298,-0.58265203,2,low
Amata phegea,-0.56388927,-0.41224909,-0.56234473,-1.0529008,0.10322277,0.061419342,-0.58265203,2,low
Ameles spallanzania,-0.58094108,-0.74809253,-0.55508476,-1.0529008,-0.80541539,0.061419342,-0.58265203,2,low
Anthus trivialis,-0.46303457,-0.10357277,-0.49337509,-0.72383976,-0.36791128,-0.20552075,-0.58265203,2,low
