specie,a,aloc,intrado,interdo,e,tr,trmo,prevalence
Trithemis annulata,-0.46459648,-0.32097647,-0.49337509,-0.55930924,0.33574376,-0.5391959,-0.58265203,0.2
Acrocephalus melanopogon,-0.42175275,-0.27650061,-0.46796522,-0.3947787,-0.53987801,-0.17882675,-0.58265203,0.2
Hieraaetus pennatus,-0.49829155,-0.57799417,-0.47522518,-0.3947787,-0.26388103,-0.17882675,-0.58265203,0.2
Coracias garrulus,-0.54452473,-0.68197656,-0.50426501,-0.6415745,-0.75210339,-0.33899081,-0.58265203,0.2
Tarentola mauritanica,-0.54590452,-0.58866739,-0.48611513,-0.80610502,-0.33915091,0.30166543,-0.58265203,0.2
Lasiommata megera,-0.42127335,-0.10765908,-0.46796522,-0.55930924,0.53071773,-0.33899081,-0.30095321,0.2
Papilio machaon,-0.50843769,-0.64745748,-0.43892536,-0.31251344,-0.60253608,-0.26618895,-0.58265203,0.2
Locustella luscinioides,-0.43934754,-0.090115227,-0.48974511,-0.6415745,-0.3886058,0.004217894,-0.58265203,0.2
Circaetus gallicus,-0.43570772,-0.17873195,-0.41714546,-0.55930924,-0.040449966,0.36172694,-0.30095321,0.2
Fringilla montifringilla,-0.51256353,-0.50212204,-0.52604491,-0.6415745,-0.28912547,-0.91100526,-0.58265203,0.2
Dama dama,-0.56858957,-0.65069103,-0.50426501,-0.97063553,-0.52099741,-0.33899081,0.16854475,0.2
Ptyonoprogne rupestris,-0.47653332,-0.042148072,-0.48611513,-0.80610502,0.5641551,-0.018662686,-0.13193396,0.2
Procambarus clarkii,-0.44694647,-0.23407006,-0.47522518,-0.55930924,0.92801839,0.061419342,-0.58265203,0.2
Sympetrum striolatum,-0.4849135,-0.62155706,-0.49700508,-0.14798291,-0.40321732,-0.95500642,-0.58265203,0.2
Anacridium aegyptium,-0.4897669,-0.44491217,-0.50063503,-0.55930924,0.21990313,-0.63929838,-0.58265203,0.2
Larus canus,-0.52122653,-0.63788289,-0.50789499,-0.47704396,-0.64587241,-0.51695085,-0.58265203,0.2
Sus scrofa,-0.48968634,-0.44451559,-0.4715952,-0.55930924,0.28426546,-0.13878573,-0.58265203,0.2
Trachemys scripta,-0.36363626,-0.12892437,-0.43529537,-0.31251344,0.9170419,-0.63019818,-0.17290832,0.2
Aeshna mixta,-0.48840031,-0.27010277,-0.49700508,-0.72383976,0.34310842,-0.072050706,-0.58265203,0.2
Aglais io,-0.44291362,-0.21421288,-0.45707527,-0.55930924,0.76398951,0.061419342,-0.58265203,0.2
